title,location,price,area,no_rooms,interior,year
ApartmentNieuwePrinsengracht,1018VVAmsterdam(Weesperbuurt/Plantage),"€2,300permonth",63m²,2rooms,,1891
HouseKoolveld2,2635LDDenHoorn(DenHoorn),"€3,250permonth",191m²,6rooms,Upholsteredorfurnished,
ApartmentBrabantseTurfmarkt33,2611CLDelft(Centrum),"€1,050permonth",36m²,2rooms,Upholstered,
ApartmentBroekslootkade69,2281TBRijswijk(Cromvliet),"€1,450permonth",113m²,5rooms,Upholstered,
ApartmentOostenburgerpark,1018HTAmsterdam(OostelijkeEilanden/Kadijken),"€1,500permonth",47m²,2rooms,Furnished,
ApartmentKerkstraat,4854CCBavel(Bavel),"€1,750permonth",120m²,3rooms,Upholstered,
ApartmentHaarlemmerweg492,1051KPAmsterdam(Staatsliedenbuurt),"€1,800permonth",54m²,2rooms,Furnished,
ApartmentMeander,1181WNAmstelveen(Stadshart),"€2,700permonth",107m²,4rooms,Upholsteredorfurnished,
ApartmentSt.Agnetenweg81,6545AVNijmegen(DeKamp),"€1,200permonth",90m²,2rooms,Furnished,
ApartmentRoomburgerlaan,2313PPLeiden(Rijndijkbuurt),"€1,295permonth",48m²,2rooms,Furnished,
RoomHooiraamhoek,7546MAEnschede(Helmerhoek-Noord),€700permonth,16m²,1room,Furnished,
ApartmentBarrierweg227,5622CNEindhoven(Kronehoef),"€1,895permonth",135m²,5rooms,Furnished,
HouseGein-Zuid12,1391GTAbcoude(AbcoudeBuitengebied),"€3,000permonth",190m²,4rooms,Upholstered,
HouseKeizersgracht,1016DRAmsterdam(Grachtengordel-West),"€1,750permonth",65m²,2rooms,Furnished,
HouseLaplacestraat,1098HXAmsterdam(Middenmeer),"€3,250permonth",125m²,5rooms,Furnished,
ApartmentMorellenweg,2321DBLeiden(Cronestein),"€1,325permonth",73m²,3rooms,Upholstered,
ApartmentHoogstraat,5615PREindhoven(Schrijversbuurt),"€2,750permonth",95m²,3rooms,Furnished,
HouseZesdeMorgen,5233NXDenBosch(DeRompert),"€1,995permonth",220m²,6rooms,Furnished,
ApartmentCouperusstraat,9721JKGroningen(DeWijert),"€1,395permonth",90m²,3rooms,Furnished,
ApartmentCavaleriestraat172,6135JMSittard(Limbrichterveld),€880permonth,86m²,3rooms,Shell,
ApartmentWilhelminaplein6B,"2103GSHeemstede(OudeDorp,Indischebuurtenomgeving)","€1,245permonth",70m²,2rooms,Upholstered,
ApartmentKruisstraat29,2011PWHaarlem(Bakenes),"€2,000permonth",140m²,4rooms,Furnished,
ApartmentVanderHoopstraat1101,1051VMAmsterdam(Staatsliedenbuurt),"€1,600permonth",47m²,2rooms,Upholstered,
ApartmentPieterBaststraat,1071TXAmsterdam(Museumkwartier),"€1,400permonth",36m²,1room,Furnished,
ApartmentBeverweg75,4817LKBreda(Brabantpark),"€1,195permonth",86m²,3rooms,,2007
ApartmentHaarlemmermeerstraat,1058KAAmsterdam(Hoofddorppleinbuurt),"€2,150permonth",70m²,4rooms,Upholstered,
ApartmentLeopoldstraat,3031STRotterdam(Rubroek),"€1,270permonth",70m²,2rooms,Upholstered,
ApartmentSchubertsingel,5216XADenBosch(Zuid),"€1,175permonth",60m²,2rooms,Upholstered,
ApartmentWeerdsingelO.Z.,3514AGUtrecht(Vogelenbuurt),"€1,500permonth",75m²,2rooms,Furnished,
ApartmentMarkt,3431LJNieuwegein(Stadscentrum),"€1,350permonth",75m²,3rooms,Upholstered,
HouseHavenplein9,1721CABroekopLangedijk(BroekopLangedijk),"€1,850permonth",162m²,5rooms,Upholstered,
ApartmentJacobvanLennepkade,1054ZNAmsterdam(OvertoomseSluis),"€1,850permonth",47m²,3rooms,Upholstered,
ApartmentWijnbrugstraat,3011XWRotterdam(Stadsdriehoek),"€1,775permonth",73m²,3rooms,Upholstered,
HouseSt.Annastraat,6525GNNijmegen(Heijendaal),"€1,400permonth",120m²,2rooms,Furnished,
StudioOijenseweg,5346STOss(Hertogenbuurt),€550permonth,24m²,1room,Upholstered,
ApartmentWilhelminakade,3072APRotterdam(KopvanZuid),"€1,650permonth",62m²,2rooms,Furnished,
ApartmentKatendrechtseLagedijk,3081ZSRotterdam(Tarwewijk),"€1,100permonth",100m²,3rooms,,1930
ApartmentLeksmondhof,1108ERAmsterdam(Nellestein),"€1,795permonth",77m²,4rooms,,1979
ApartmentNieuweweg28,9711TEGroningen(Binnenstad-Oost),"€1,100permonth",50m²,2rooms,Upholstered,
HouseSchooterweg,5505JSVeldhoven(Veldhoven),"€1,495permonth",156m²,4rooms,Upholstered,
ApartmentGrundelweg,1431CSAalsmeer(Centrum),"€1,175permonth",48m²,1room,Furnished,
ApartmentSt.Peterlaan,6821HKArnhem(GraafOttopleine.o.),€650permonth,40m²,3rooms,Upholstered,
ApartmentVanHeuvenGoedhartlaan308,1181LJAmstelveen(ElsrijkOost),"€1,900permonth",90m²,3rooms,Furnished,
ApartmentDeBinderij,1321ECAlmere(Literatuurwijk),"€1,930permonth",95m²,3rooms,Upholsteredorfurnished,
HouseGein-Zuid12,1391GTAbcoude(AbcoudeBuitengebied),"€3,000permonth",190m²,4rooms,Upholstered,
ApartmentGrutterstraat,3632EJLoenenaandeVecht(LoenenDorpskern),€895permonth,40m²,2rooms,Upholstered,
HouseSpoorweghaven,3071ZGRotterdam(KopvanZuid-Entrepot),"€5,000permonth",240m²,7rooms,Furnished,
ApartmentGrootzeilhof,1034MCAmsterdam(BanneBuiksloot),"€2,200permonth",80m²,3rooms,Furnished,
ApartmentBagijnestraat,2511CKDenHaag(Uilebomen),"€1,995permonth",100m²,4rooms,Upholstered,
ApartmentScheltemalaan37,3817KRAmersfoort(Leusderkwartier-West),"€1,225permonth",54m²,3rooms,Upholstered,
ApartmentTafelbergdreef192,3564AGUtrecht(Zambesidreefenomgeving),"€1,325permonth",84m²,4rooms,Upholstered,
HouseGanzepeppel36,"7041HE's-Heerenberg('s-Heerenberg,oostelijkeuitbreiding)",€865permonth,100m²,4rooms,Shell,
ApartmentVoltastraat11,7316GHApeldoorn(Kerschoten),€925permonth,106m²,5rooms,Shell,
HouseKorenbloemstraat,"3551GMUtrecht(Egelantierstraat,Mariëndaalstraate.o.)","€1,750permonth",85m²,4rooms,Upholstered,
ApartmentSichtermanmarke,8016MZZwolle(Oldenelerbroek),€995permonth,65m²,3rooms,Upholstered,
ApartmentZoutziedersstraat,3026EHRotterdam(Tussendijken),"€1,500permonth",75m²,3rooms,Upholstered,
ApartmentMeintVeningastraat,9601KJHoogezand(Stadshart-Noord),€763permonth,66m²,3rooms,Upholstered,
ApartmentHelperBrink53,9722EJGroningen(Helpman),"€1,895permonth",200m²,5rooms,Upholstered,
ApartmentAlbertCuypstraat491,1072CLAmsterdam(OudePijp),"€2,650permonth",95m²,3rooms,Furnished,
ApartmentVeenkade,2271VZVoorburg(VoorburgOudzuid),"€2,495permonth",84m²,4rooms,Upholstered,
ApartmentKorbootstraat,2583CTDenHaag(Vissershaven),"€1,275permonth",50m²,3rooms,Upholstered,
ApartmentBurgemeesterPatijnlaan590,2585CADenHaag(Archipelbuurt),"€1,175permonth",60m²,2rooms,Furnished,
HouseLupinestraat,5614GLEindhoven(Joriskwartier),"€2,500permonth",130m²,5rooms,Furnished,
ApartmentHalstraat,4811HXBreda(City),"€1,395permonth",85m²,3rooms,Upholstered,
House1eWeerdsweg,7412WLDeventer(LangeZandstraat),"€1,095permonth",78m²,5rooms,Upholstered,
ApartmentPeldenstraat11,6171XVStein(Nieuwdorp),€975permonth,86m²,3rooms,Upholstered,
ApartmentEersteLooiersdwarsstraat,1016VLAmsterdam(Jordaan),"€2,500permonth",65m²,2rooms,Furnished,
ApartmentMarktstraat,9712PCGroningen(Hortusbuurt-Ebbingekwartier),"€1,170permonth",53m²,4rooms,Upholstered,
ApartmentEmmastraat,4811AEBreda(Station),"€1,050permonth",50m²,2rooms,Upholstered,
ApartmentLijsterlaan71,3055CERotterdam(Molenlaankwartier),€849permonth,71m²,2rooms,Shell,
ApartmentDeHooghlaan,3723GSBilthoven(BilthovenNoordII),"€1,075permonth",60m²,2rooms,Upholstered,
ApartmentBakhuizenvandenBrinkstraat,"3532GAUtrecht(NieuwEngeland,Th.a.Kempisplantsoenenomgeving)","€1,150permonth",35m²,2rooms,Furnished,
HouseWillemvanOranjestraat20,6371EVLandgraaf(Kakert),€935permonth,121m²,4rooms,Shell,
ApartmentVanEmbdenstraat,2628ZEDelft(BedrijventerreinDelftech),"€1,450permonth",101m²,3rooms,Upholstered,
HouseEdammerstraat54,1023VCAmsterdam(TuindorpNieuwendam),"€1,700permonth",64m²,4rooms,Furnished,
ApartmentDeBinderij,1321ECAlmere(Literatuurwijk),"€1,930permonth",95m²,3rooms,Upholsteredorfurnished,
ApartmentPelsRijckenstraat,6814DKArnhem(Burgemeesterswijk),"€1,300permonth",85m²,2rooms,Upholstered,
ApartmentEersteJanvanderHeijdenstraat116H,1072VBAmsterdam(OudePijp),"€4,500permonth",83m²,3rooms,Furnished,
HouseBussumsestraat,2574JMDenHaag(Rustenburg),"€1,086permonth",55m²,3rooms,Upholstered,
RoomSintMaartenslaan432-R,6221AWMaastricht(Wyck),€835permonth,30m²,1room,Upholsteredorfurnished,
ApartmentTorenstraat,2513BNDenHaag(Kortenbos),"€1,495permonth",85m²,3rooms,Upholstered,
ApartmentTernatestraat,7512GLEnschede(Hogeland-Noord),"€1,695permonth",150m²,3rooms,Upholstered,
ApartmentNicolaasMaesstraat65II,1071PRAmsterdam(Museumkwartier),"€2,250permonth",62m²,3rooms,Upholstered,
ApartmentParrestraat,6245LJEijsden(Oost),€949permonth,59m²,2rooms,Upholstered,
StudioDamsterdiep24,9711SLGroningen(Binnenstad-Oost),€975permonth,26m²,2rooms,,1901
ApartmentDeWerf,1141HLMonnickendam(Markgouw),"€1,450permonth",108m²,3rooms,Upholstered,
HouseHoogstraat,7512GZEnschede(Hogeland-Noord),"€1,750permonth",150m²,2rooms,Upholstered,
ApartmentZuid-Hollandstraat882,1082ELAmsterdam(Buitenveldert-West),"€1,900permonth",70m²,3rooms,Upholstered,
ApartmentVanHoornekade135,3554ATUtrecht(Geuzenwijk),"€1,100permonth",90m²,4rooms,,1931
ApartmentSpionkopstraat,2572NNDenHaag(Transvaalkwartier-Zuid),"€1,850permonth",100m²,4rooms,Upholstered,
ApartmentWeena443,3013ALRotterdam(CsKwartier),"€1,955permonth",80m²,3rooms,,1990
ApartmentReyerAnslostraat241,1054KVAmsterdam(OvertoomseSluis),"€2,000permonth",55m²,3rooms,Furnished,
HouseBelcampoplantsoen2,1187VTAmstelveen(Schrijversbuurt),"€2,950permonth",166m²,5rooms,Upholsteredorfurnished,
ApartmentBeetzlaan,3762CGSoest('tHart),"€1,095permonth",53m²,2rooms,Upholstered,
ApartmentStovestraat,3811KAAmersfoort(Nieuwstraate.o.),"€1,395permonth",55m²,2rooms,Upholstered,
ApartmentSanderijnstraat,1055BMAmsterdam(Erasmuspark),"€1,895permonth",65m²,3rooms,Upholstered,
ApartmentKazernestraat104C,2514CWDenHaag(Voorhout),"€1,550permonth",65m²,3rooms,Furnished,
HouseBoerendijk,4793RWFijnaart(VerspreidehuizenFijnaart),"€1,880permonth",143m²,7rooms,Furnished,
ApartmentOosterstraat,9711NWGroningen(Binnenstad-Zuid),"€1,195permonth",50m²,2rooms,Upholstered,
ApartmentBergstraat,3035TDRotterdam(OudeNoorden),"€1,300permonth",67m²,2rooms,Upholstered,
ApartmentBergstraat,3035TDRotterdam(OudeNoorden),"€1,750permonth",107m²,3rooms,Upholstered,
ApartmentMauritsstraat,3012CJRotterdam(Cool),"€1,075permonth",53m²,2rooms,Upholstered,
ApartmentEijmaelstraat,6412ALHeerlen(Schandelen),€760permonth,78m²,2rooms,Upholstered,
ApartmentBanstraat25B*,1071JWAmsterdam(Museumkwartier),"€11,000permonth",194m²,4rooms,,
ApartmentEmmastraat8C,2595EJDenHaag(Bezuidenhout-Midden),"€1,495permonth",73m²,3rooms,Furnished,
ApartmentTorenstraat78,9982AZUithuizermeeden(Uithuizermeeden),€850permonth,50m²,2rooms,Furnished,
ApartmentHeinsbergerweg17D1,6045CBRoermond(Kapel-Muggenbroek),Priceonrequest,90m²,4rooms,,2006
ApartmentHoofdweg,1058BCAmsterdam(WestindischeBuurt),"€3,000permonth",155m²,6rooms,Upholstered,
ApartmentDeBinderij,1321ECAlmere(Literatuurwijk),"€1,930permonth",95m²,3rooms,Upholsteredorfurnished,
ApartmentWillemstraat43,2275CPVoorburg(VoorburgWestzuid),"€1,100permonth",60m²,3rooms,Furnished,
ApartmentMeerwater,5658LNEindhoven(Meerrijk),"€1,800permonth",95m²,3rooms,Upholstered,
ApartmentBalistraat48II,1094JNAmsterdam(IndischeBuurtWest),"€1,750permonth",50m²,2rooms,Upholstered,
ApartmentVanBaerlestraat,1071BBAmsterdam(Museumkwartier),"€2,350permonth",55m²,3rooms,Upholsteredorfurnished,
StudioHuisteLandelaan,2283SCRijswijk(TeWerve),"€1,070permonth",45m²,1room,Upholstered,
ApartmentMarieBaronlaan21,1183WXAmstelveen(Boekenbuurt),"€2,250permonth",100m²,3rooms,Furnished,
ApartmentGeuzenstraat,1056JZAmsterdam(Geuzenbuurt),"€1,775permonth",65m²,3rooms,Furnished,
HouseHaagstraat,6133VSSittard(Ophoven),"€1,200permonth",100m²,5rooms,Furnished,
HouseBeslingastate,8926NGLeeuwarden(Camminghaburen-Noord),"€1,150permonth",125m²,5rooms,Upholstered,
StudioWesterstraat,1015MLAmsterdam(Jordaan),"€1,350permonth",30m²,1room,Upholstered,
HouseAnsjoviskade35,1767EBKolhorn(Kolhorn(woonkern)enDeStrook),"€1,900permonth",159m²,5rooms,Furnished,
ApartmentEschersingel,3544MLUtrecht(HetZand-West),"€1,525permonth",100m²,3rooms,Upholsteredorfurnished,
HouseTulpstraat6,4486BZColijnsplaat(Colijnsplaat),"€1,450permonth",88m²,5rooms,Shell,
StudioHengelosestraat,7521AKEnschede(Walhof-Roessingh),€696permonth,22m²,1room,Upholstered,
ApartmentSchiebroekselaan,3037RLRotterdam(Liskwartier),"€2,250permonth",138m²,5rooms,Furnished,
ApartmentBotersloot,3011HERotterdam(Stadsdriehoek),"€1,995permonth",95m²,3rooms,Furnished,
ApartmentVictorieplein,1079KMAmsterdam(Scheldebuurt),"€3,250permonth",110m²,4rooms,Upholstered,
ApartmentValkenbosplein,2563CADenHaag(Bomenbuurt),"€1,075permonth",65m²,2rooms,Furnished,
ApartmentBosdrift,1215ARHilversum(Zeeheldenkwartier),"€1,470permonth",83m²,3rooms,Furnished,
HouseSavannestraat21,1448WCPurmerend(Amerika),"€2,150permonth",135m²,5rooms,Upholstered,
HouseCarelWillinkstraat,5645LHEindhoven(PuttenseDreef),"€2,250permonth",160m²,4rooms,Furnished,
ApartmentSchoonhoeve,5611PWEindhoven(Rochusbuurt),"€1,460permonth",90m²,3rooms,Furnished,
ApartmentOldenzaalsestraat,7514DVEnschede(DeLaares),"€1,100permonth",65m²,2rooms,Upholstered,
StudioWesterstraat,1015MLAmsterdam(Jordaan),"€1,350permonth",30m²,1room,Upholstered,
StudioPluvierstraat,7523EHEnschede(Mekkelholt),€825permonth,30m²,1room,Upholstered,
HouseGrundelhof36,8862PRHarlingen(Oosterpark),"€1,145permonth",126m²,4rooms,,1980
ApartmentBurgemeesterPatijnlaan,2585BXDenHaag(Archipelbuurt),"€1,495permonth",80m²,3rooms,Furnished,
ApartmentBrammelerstraat,7511JGEnschede(City),€995permonth,60m²,2rooms,Upholstered,
StudioSemarangstraat,7512ZVEnschede(Hogeland-Noord),€850permonth,25m²,1room,Upholstered,
ApartmentZuid-Hollandstraat622,1082ELAmsterdam(Buitenveldert-West),"€1,950permonth",75m²,4rooms,Furnished,
ApartmentHoofdweg,1058BCAmsterdam(WestindischeBuurt),"€3,000permonth",155m²,6rooms,Upholstered,
HouseGein-Zuid12,1391GTAbcoude(AbcoudeBuitengebied),"€3,000permonth",190m²,4rooms,Upholstered,
ApartmentBuitenkant,8011VHZwolle(Binnenstad-Noord),"€1,425permonth",77m²,3rooms,Upholstered,
ApartmentRembrandtweg300,1181HBAmstelveen(ElsrijkOost),"€1,900permonth",96m²,4rooms,Furnished,
StudioDeKlomp,7511DJEnschede(City),€795permonth,25m²,1room,Upholstered,
ApartmentHemonylaan,1074BEAmsterdam(OudePijp),"€2,075permonth",58m²,3rooms,Upholstered,
ApartmentMarkt,4875CEEtten-Leur(CentrumOost1),"€1,900permonth",120m²,4rooms,,2021
ApartmentMaliesingel,3581BGUtrecht(BuitenWittevrouwen),"€3,000permonth",222m²,4rooms,Upholstered,
ApartmentAelbrechtskade,3023JJRotterdam(NieuweWesten),"€1,500permonth",85m²,3rooms,,1950
ApartmentDirkvanWassenaarstraat,3117PDSchiedam(Schrijversbuurt),"€1,150permonth",60m²,2rooms,Upholstered,
ApartmentVlissingsestraat48B,4331KWMiddelburg(Markt),"€1,089permonth",55m²,3rooms,Furnished,
HouseBavelselaan,4835GMBreda(Ginneken),"€1,495permonth",80m²,4rooms,Furnished,
ApartmentBergstraat,3035TDRotterdam(OudeNoorden),"€1,250permonth",83m²,2rooms,Upholstered,
ApartmentEsplanade,1315TCAlmere(CentrumAlmereStad),"€1,450permonth",85m²,2rooms,Furnished,
StudioVeldhovenring,5041BATilburg(Padua),€570permonth,33m²,1room,Upholstered,
ApartmentOosthavenkade,3134NWVlaardingen(Oostbuurt),"€1,900permonth",85m²,4rooms,Furnished,
ApartmentOosthavenkade,3134NWVlaardingen(Oostbuurt),"€1,900permonth",85m²,4rooms,Furnished,
ApartmentOosthavenkade,3134NWVlaardingen(Oostbuurt),"€1,900permonth",85m²,4rooms,Furnished,
ApartmentKarelDoormanstraat382R,3012GRRotterdam(Cool),"€1,450permonth",48m²,2rooms,Furnished,
ApartmentDeReijenburg,5501LEVeldhoven(Zeelst),"€1,600permonth",106m²,3rooms,Upholstered,
ApartmentHendrikvanTulderstraat,5046NCTilburg(Nassaubuurt),"€1,521permonth",59m²,2rooms,Furnished,
ApartmentGroteVisserijstraat,3026CHRotterdam(Tussendijken),"€1,795permonth",120m²,5rooms,Upholstered,
ApartmentVanSlingelandtstraat,2582XSDenHaag(Statenkwartier),"€1,695permonth",100m²,3rooms,,1906
ApartmentSteynlaan,3701EAZeist(Carré),€950permonth,45m²,2rooms,Upholstered,
ApartmentDriehoekstraat36,1015GLAmsterdam(Jordaan),"€1,850permonth",50m²,2rooms,Furnished,
ApartmentRembrandtweg206,1181GZAmstelveen(ElsrijkOost),"€3,100permonth",125m²,3rooms,Furnished,
ApartmentCatharinavanRennesstraat245,2551GLDenHaag(Waldeck-Noord),€767permonth,43m²,2rooms,Shell,
ApartmentHeuvelring,5038CLTilburg(HoogvenneWest),"€1,495permonth",112m²,3rooms,Shell,
RoomKlarendalseweg,6822GRArnhem(St.Janskerkstraate.o.),€520permonth,11m²,1room,Upholstered,
ApartmentMeestoof,4331VDMiddelburg(Damplein),"€1,250permonth",109m²,3rooms,Shell,
ApartmentVanWoustraat682,1073LNAmsterdam(OudePijp),"€2,450permonth",59m²,3rooms,Upholsteredorfurnished,
ApartmentBeekpoort24,6001HAWeert(Weert-Centrum),"€1,050permonth",95m²,3rooms,Upholsteredorfurnished,
ApartmentGroteBickersstraat23H,1013KNAmsterdam(Haarlemmerbuurt),"€2,000permonth",62m²,2rooms,Furnished,
ApartmentDeBinderij,1321ECAlmere(Literatuurwijk),"€1,930permonth",95m²,3rooms,Upholsteredorfurnished,
ApartmentMariainCampislaan,9406JBAssen(LandgoedLariks),€645permonth,52m²,2rooms,Upholstered,
ApartmentZwaanshals,3036KZRotterdam(OudeNoorden),"€1,600permonth",50m²,2rooms,Furnished,
ApartmentBuizerd75,8446KMHeerenveen(DeGreiden),€925permonth,86m²,3rooms,,1973
ApartmentZwederstraat,3073ZTRotterdam(Bloemhof),"€1,125permonth",65m²,4rooms,Upholstered,
ApartmentWillibrorduslaan10h,5521KCEersel(Eersel-komenLindeakkers),"€1,250permonth",60m²,2rooms,Upholstered,
ApartmentOostzeedijk,3063BDRotterdam(Struisenburg),"€1,495permonth",86m²,3rooms,Upholstered,
HouseLijsterstraat,2333XZLeiden(Vogelwijk),"€2,750permonth",159m²,7rooms,Upholstered,
ApartmentTransvaalplein,5021TDTilburg(Zeeheldenbuurt),€785permonth,50m²,2rooms,Upholstered,
HouseRibesstraat,1783CADenHelder(Jeruzalem),€763permonth,94m²,2rooms,Shell,
ApartmentVoorstraat283A,3311EPDordrecht(Centrum),"€1,050permonth",65m²,3rooms,Upholstered,
ApartmentKeizersgracht,1017DTAmsterdam(Grachtengordel-Zuid),"€2,950permonth",91m²,2rooms,Furnished,
RoomOudeVlijmenseweg,5223GTDenBosch(DeRietvelden-Oost),€450permonth,13m²,1room,Upholstered,
ApartmentLepelaarsingel,3136PBVlaardingen(VogelbuurtZuid),"€1,395permonth",87m²,4rooms,Upholstered,
ApartmentVanderHelmstraat,3067HJRotterdam(HetLageLand),"€1,250permonth",75m²,3rooms,Upholstered,
ApartmentHeemraadssingel,3021DERotterdam(Middelland),"€1,450permonth",50m²,2rooms,Furnished,
ApartmentJulianavanStolbergstraat,1055RMAmsterdam(Landlust),"€1,750permonth",52m²,3rooms,Furnished,
ApartmentKerkstraat,2271CSVoorburg(VoorburgOudzuid),"€1,495permonth",80m²,3rooms,Upholstered,
ApartmentVanAlkemadelaan,2597BLDenHaag(Duttendel),"€1,695permonth",95m²,4rooms,Furnished,
ApartmentSarphatipark1332,1073CXAmsterdam(OudePijp),"€1,850permonth",70m²,3rooms,Upholstered,
ApartmentOostpoort10,2611RZDelft(Zuidpoort),"€1,175permonth",56m²,2rooms,Upholstered,
HouseSintOlofsstraat21G,2613EKDelft(Olofsbuurt),"€1,750permonth",85m²,3rooms,Upholstered,
ApartmentNieuweVijzelstraat,1017HTAmsterdam(DeWeteringschans),"€2,350permonth",80m²,2rooms,,Before1906
ApartmentMolenkade,3645AXVinkeveen(VinkeveenPlassengebied),"€1,950permonth",86m²,3rooms,,
HouseWinschoterdiep,9724GTGroningen(Oosterpoort),"€1,250permonth",45m²,2rooms,Furnished,
ApartmentPieterskerkhof23B,"3512JSUtrecht(Domplein,Neude,Janskerkhof)","€1,675permonth",66m²,2rooms,Upholstered,
ApartmentPieterskerkhof23L,"3512JSUtrecht(Domplein,Neude,Janskerkhof)","€1,750permonth",63m²,2rooms,Upholstered,
HouseTerschellingstraat,1339TDAlmere(Eilandenbuurt),"€1,550permonth",97m²,4rooms,Upholstered,
HouseOostIndiëstraat98,2013RTHaarlem(Leidsebuurt-west),"€2,500permonth",116m²,5rooms,Upholstered,
ApartmentGoirkestraat16,5046GKTilburg(GoirkeNoord),"€1,350permonth",150m²,3rooms,Upholstered,
ApartmentBosboomToussaintstraat,1054AVAmsterdam(Helmersbuurt),"€1,950permonth",70m²,4rooms,Upholstered,
ApartmentGroteBickersstraat23H,1013KNAmsterdam(Haarlemmerbuurt),"€2,000permonth",62m²,2rooms,Furnished,
HouseGein-Zuid12,1391GTAbcoude(AbcoudeBuitengebied),"€3,000permonth",190m²,4rooms,Upholstered,
ApartmentMgr.Aengenentlaan,2361GBWarmond(Kloosterland-Endepoel),"€1,018permonth",50m²,2rooms,Upholstered,
ApartmentDordtselaan,3073GARotterdam(Bloemhof),"€1,745permonth",65m²,3rooms,Furnished,
HouseBloemenweg6,6134XSSittard(Sanderbout),"€1,250permonth",135m²,7rooms,Upholstered,
ApartmentWilhelminastraat,4818SGBreda(Zandberg),"€1,200permonth",75m²,2rooms,Upholstered,
ApartmentSingel,1015AGAmsterdam(Grachtengordel-West),"€4,000permonth",108m²,3rooms,Furnished,
ApartmentOlympiaplein,1077CPAmsterdam(Apollobuurt),"€3,250permonth",121m²,4rooms,Upholstered,
ApartmentBellaVistastraat,1096GMAmsterdam(Omval/Overamstel),"€3,000permonth",113m²,4rooms,Furnished,
StudioAdmiraliteitslaan,5224ENDenBosch(DeKruiskamp),€735permonth,23m²,1room,Furnished,
HouseLaanvanhetKinholt,7823GDEmmen(Emmerhout),"€1,800permonth",126m²,6rooms,Upholstered,
ApartmentPrinseneiland,1013LLAmsterdam(Haarlemmerbuurt),"€3,000permonth",94m²,3rooms,Furnished,
ApartmentMontelbaanstraat,1011EGAmsterdam(Nieuwmarkt/Lastage),"€2,250permonth",86m²,4rooms,Upholstered,
HouseHattemlaan,2573WKDenHaag(Oostbroek-Zuid),"€1,195permonth",70m²,4rooms,Upholstered,
ApartmentKerkstraat,1017HWAmsterdam(Grachtengordel-Zuid),"€5,000permonth",120m²,3rooms,Furnished,
HouseVanBeverningkstraat,2582VGDenHaag(Statenkwartier),"€1,450permonth",54m²,4rooms,Furnished,
ApartmentIndeWatermolen,1115GADuivendrecht(Duivendrecht),"€2,100permonth",100m²,5rooms,Furnished,
HouseVoorstraat8,3628AHKockengen(KockengenDorp),"€2,750permonth",210m²,4rooms,,1946
ApartmentGeuzenstraat,1056KAAmsterdam(Geuzenbuurt),"€1,950permonth",55m²,3rooms,Furnished,
StudioUiterwaardenstraat,1079CEAmsterdam(Rijnbuurt),"€1,449permonth",37m²,1room,Furnished,
ApartmentFokkeSimonszstraat,1017TKAmsterdam(DeWeteringschans),"€1,800permonth",44m²,2rooms,Upholstered,
HouseWillemBarentszstraat,5223HMDenBosch(DeSchutskamp),"€1,200permonth",91m²,4rooms,Furnished,
